date,bubbles,vnindex,vnindex_growth,Imports of goods and services (annual % growth),Exports of goods and services (constant 2015 US$),Final consumption expenditure (constant 2015 US$),General government final consumption expenditure (annual % growth),Current account balance (% of GDP),Lending interest rate (%),Consumer price index (2010 = 100),Broad money (current LCU),Net domestic credit (current LCU),"Official exchange rate (LCU per US$, period average)",Imports of goods and services (% of GDP),Gross capital formation (annual % growth),Broad money to total reserves ratio,Monetary Sector credit to private sector (% GDP),Gross domestic savings (% of GDP),GDP growth (annual %),GNI (constant 2015 US$),Trade (% of GDP),Domestic credit to private sector (% of GDP),Deposit interest rate (%),Broad money growth (annual %),"Personal remittances, received (current US$)","Foreign direct investment, net (BoP, current US$)","Net primary income (BoP, current US$)","Primary income payments (BoP, current US$)",Gross capital formation (constant 2015 US$),Exports of goods and services (annual % growth),Gross national expenditure (% of GDP),Final consumption expenditure (annual % growth),"Total debt service (% of exports of goods, services and primary income)","Use of IMF credit (DOD, current US$)","Interest rate spread (lending rate minus deposit rate, %)","Inflation, consumer prices (annual %)",GNI growth (annual %),GDP (constant 2015 US$),Exports of goods and services (% of GDP),Gross national expenditure (constant 2015 US$),Final consumption expenditure (% of GDP),Households and NPISHs Final consumption expenditure (annual % growth),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Personal remittances, received (% of GDP)","Goods exports (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Current account balance (BoP, current US$)","Imports of goods and services (BoP, current US$)","Multilateral debt service (TDS, current US$)","Debt service on external debt, total (TDS, current US$)",Short-term debt (% of total external debt),"IBRD loans and IDA credits (DOD, current US$)","External debt stocks, total (DOD, current US$)",Public and publicly guaranteed debt service (% of GNI),Total debt service (% of GNI),Households and NPISHs Final consumption expenditure (constant 2015 US$),General government final consumption expenditure (% of GDP)
1/3/2001,0,210.56,0.23,16.39142044,31914493073,66434822312,6.510588356,1.793561319,9.392435897,48.02198081,2.54E+14,1.95E+14,14767.8077,57.28352243,10.91870615,4.626474128,39.58580754,28.80470831,6.202733902,98630719418,112.320625,39.58580754,5.392115385,26.25477563,1151538462,-1307692308,-495769230.8,802153846.2,23198928026,16.6564418,102.5255852,4.850052817,6.661923424,427362225.3,4.000320513,-0.103669674,6.26163712,99831797145,55.03710254,89633750339,71.19529169,4.714344462,2.710769231,3.494857653,15156153846,-222769230.8,583076923.1,18199538462,25790149.23,1217301793,5.645953846,1427241077,12687459591,3.527982578,3.756018277,56635141343,6.32191009
2/2/2001,0,250.23,0.19,16.34096084,32167007268,66813616883,6.416624978,1.50055127,9.364871795,48.16307577,2.56E+14,1.99E+14,14810.44872,57.67304014,11.06923354,4.616980208,39.88122145,28.79382535,6.212574493,99078159466,112.685312,39.88122145,5.480064103,25.1730889,1203076923,-1315384615,-514538461.5,809307692.3,23423809216,16.13239724,102.6939883,5.067113147,6.615890451,428896570.9,3.884807692,0.224205164,6.243659891,1.00E+11,55.0122718,90237426099,71.20617465,4.957139752,2.661538462,3.624277616,15285307692,-354538461.5,484153846.2,18471076923,25859671.96,1216774101,5.599407692,1455781154,12742085179,3.504564328,3.735569607,56965515538,6.314437992
3/2/2001,0,253.64,0.01,16.29050123,32419521464,67192411453,6.3226616,1.207541221,9.337307692,48.30417074,2.59E+14,2.02E+14,14853.08975,58.06255785,11.21976093,4.607486288,40.17663537,28.78294238,6.222415083,99525599515,113.0499989,40.17663537,5.568012821,24.09140218,1254615385,-1323076923,-533307692.3,816461538.5,23648690405,15.60835268,102.8623913,5.284173477,6.569857478,430430916.5,3.769294872,0.552080002,6.225682663,1.01E+11,54.98744107,90841101858,71.21705762,5.199935042,2.612307692,3.753697578,15414461538,-486307692.3,385230769.2,18742615385,25929194.69,1216246410,5.552861538,1484321231,12796710766,3.481146077,3.715120937,57295889734,6.306965894
4/2/2001,0,274.43,0.08,16.24004163,32672035659,67571206024,6.228698222,0.914531171,9.30974359,48.4452657,2.61E+14,2.06E+14,14895.73077,58.45207556,11.37028832,4.597992368,40.47204928,28.77205942,6.232255674,99973039563,113.4146859,40.47204928,5.655961539,23.00971545,1306153846,-1330769231,-552076923.1,823615384.6,23873571594,15.08430811,103.0307944,5.501233807,6.523824505,431965262.1,3.653782051,0.87995484,6.207705434,1.01E+11,54.96261033,91444777618,71.22794058,5.442730331,2.563076923,3.88311754,15543615385,-618076923.1,286307692.3,19014153846,25998717.42,1215718718,5.506315385,1512861308,12851336353,3.457727826,3.694672268,57626263929,6.299493796
5/2/2001,0,327.13,0.19,16.18958202,32924549855,67950000594,6.134734844,0.621521122,9.282179487,48.58636067,2.64E+14,2.10E+14,14938.3718,58.84159327,11.52081571,4.588498448,40.76746319,28.76117646,6.242096264,1.00E+11,113.7793729,40.76746319,5.743910257,21.92802872,1357692308,-1338461538,-570846153.8,830769230.8,24098452784,14.56026355,103.1991974,5.718294137,6.477791532,433499607.7,3.538269231,1.207829678,6.189728206,1.02E+11,54.93777959,92048453378,71.23882354,5.685525621,2.513846154,4.012537503,15672769231,-749846153.8,187384615.4,19285692308,26068240.15,1215191027,5.459769231,1541401385,12905961941,3.434309576,3.674223598,57956638125,6.292021698
6/1/2001,0,411.03,0.26,16.13912242,33177064050,68328795165,6.040771466,0.328511073,9.254615385,48.72745564,2.66E+14,2.14E+14,14981.01282,59.23111098,11.6713431,4.579004528,41.0628771,28.7502935,6.251936855,1.01E+11,114.1440599,41.0628771,5.831858975,20.84634199,1409230769,-1346153846,-589615384.6,837923076.9,24323333973,14.03621899,103.3676004,5.935354467,6.431758559,435033953.3,3.42275641,1.535704516,6.171750978,1.02E+11,54.91294885,92652129138,71.2497065,5.928320911,2.464615385,4.141957465,15801923077,-881615384.6,88461538.46,19557230769,26137762.88,1214663335,5.413223077,1569941462,12960587528,3.410891325,3.653774928,58287012321,6.2845496
7/2/2001,0,491.17,0.19,16.08866281,33429578246,68707589735,5.946808088,0.035501024,9.227051282,48.8685506,2.69E+14,2.17E+14,15023.65385,59.6206287,11.82187048,4.569510609,41.35829102,28.73941053,6.261777445,1.01E+11,114.5087468,41.35829102,5.919807692,19.76465527,1460769231,-1353846154,-608384615.4,845076923.1,24548215162,13.51217443,103.5360035,6.152414797,6.385725585,436568298.8,3.30724359,1.863579354,6.153773749,1.03E+11,54.88811812,93255804897,71.26058947,6.171116201,2.415384615,4.271377427,15931076923,-1013384615,-10461538.46,19828769231,26207285.62,1214135644,5.366676923,1598481538,13015213115,3.387473074,3.633326258,58617386516,6.277077503
8/1/2001,0,395.63,-0.19,16.03820321,33682092441,69086384306,5.85284471,-0.257509025,9.19948718,49.00964557,2.71E+14,2.21E+14,15066.29487,60.01014641,11.97239787,4.560016689,41.65370493,28.72852757,6.271618036,1.02E+11,114.8734338,41.65370493,6.00775641,18.68296854,1512307692,-1361538462,-627153846.2,852230769.2,24773096351,12.98812987,103.7044065,6.369475127,6.339692612,438102644.4,3.191730769,2.191454192,6.135796521,1.03E+11,54.86328738,93859480657,71.27147243,6.413911491,2.366153846,4.400797389,16060230769,-1145153846,-109384615.4,20100307692,26276808.35,1213607952,5.320130769,1627021615,13069838702,3.364054823,3.612877588,58947760712,6.269605405
9/5/2001,0,296.43,-0.25,15.9877436,33934606637,69465178876,5.758881332,-0.550519074,9.171923077,49.15074054,2.74E+14,2.25E+14,15108.9359,60.39966412,12.12292526,4.550522769,41.94911884,28.71764461,6.281458626,1.02E+11,115.2381208,41.94911884,6.095705128,17.60128181,1563846154,-1369230769,-645923076.9,859384615.4,24997977541,12.46408531,103.8728095,6.586535457,6.293659639,439636990,3.076217949,2.51932903,6.117819293,1.04E+11,54.83845664,94463156417,71.28235539,6.656706781,2.316923077,4.530217352,16189384615,-1276923077,-208307692.3,20371846154,26346331.08,1213080261,5.273584615,1655561692,13124464290,3.340636573,3.592428918,59278134908,6.262133307
10/1/2001,0,229.06,-0.23,15.937284,34187120832,69843973447,5.664917954,-0.843529124,9.144358975,49.2918355,2.76E+14,2.29E+14,15151.57692,60.78918183,12.27345265,4.541028849,42.24453275,28.70676165,6.291299217,1.03E+11,115.6028078,42.24453275,6.183653846,16.51959508,1615384615,-1376923077,-664692307.7,866538461.5,25222858730,11.94004074,104.0412126,6.803595787,6.247626666,441171335.6,2.960705128,2.847203868,6.099842064,1.04E+11,54.8136259,95066832177,71.29323835,6.89950207,2.267692308,4.659637314,16318538462,-1408692308,-307230769.2,20643384615,26415853.81,1212552569,5.227038462,1684101769,13179089877,3.317218322,3.571980249,59608509103,6.254661209
